ACCNT_PARTY_ID,ACCNT_ID,PARTY_ID,ACCNT_ROLE_TYPE_CD_ID,ACCNT_NICK_NM,INSRT_USER,INSRT_TS,UPDT_USER,UPDT_TS
33435054,3034438,64292477,10,Nick_0,insrt_user0,2022-04-30 17:14:24.035886,updt_user0,2023-10-27 17:14:24.036217
10999036,4520197,26665165,2,Nick_1,insrt_user1,2021-06-08 17:14:24.035895,updt_user1,2024-03-27 17:14:24.036219
68788418,6976662,96285396,9,Nick_2,insrt_user2,2019-12-21 17:14:24.035897,updt_user2,2024-09-15 17:14:24.036221
43690025,3596946,97237836,3,Nick_3,insrt_user3,2022-04-26 17:14:24.035898,updt_user3,2024-05-08 17:14:24.036224
38499950,9314488,83130176,6,Nick_4,insrt_user4,2021-02-26 17:14:24.035900,updt_user4,2024-06-23 17:14:24.036226
34002782,5353789,45260500,0,Nick_5,insrt_user0,2022-08-24 17:14:24.035901,updt_user0,2024-08-05 17:14:24.036229
43197370,3455574,86823647,0,Nick_6,insrt_user1,2020-07-06 17:14:24.035903,updt_user1,2024-03-10 17:14:24.036231
37238283,5396413,32491919,8,Nick_7,insrt_user2,2021-01-05 17:14:24.035905,updt_user2,2025-02-07 17:14:24.036235
86739195,4790947,61445461,7,Nick_8,insrt_user3,2020-09-23 17:14:24.035907,updt_user3,2023-09-25 17:14:24.036238
28247319,9092598,28663492,9,Nick_9,insrt_user4,2022-04-22 17:14:24.035909,updt_user4,2025-01-08 17:14:24.036241
29371310,5631817,54816819,2,Nick_10,insrt_user0,2020-04-14 17:14:24.035911,updt_user0,2023-09-24 17:14:24.036243
86082789,9477385,61306341,8,Nick_11,insrt_user1,2022-01-02 17:14:24.035912,updt_user1,2024-05-14 17:14:24.036246
40649225,1452178,87844823,7,Nick_12,insrt_user2,2020-01-24 17:14:24.035914,updt_user2,2023-04-15 17:14:24.036248
43608426,9826234,24343717,5,Nick_13,insrt_user3,2022-08-18 17:14:24.035915,updt_user3,2023-03-21 17:14:24.036251
17016253,5730593,82853723,9,Nick_14,insrt_user4,2021-05-16 17:14:24.035917,updt_user4,2023-04-08 17:14:24.036254
77204578,4418313,69994924,1,Nick_15,insrt_user0,2021-05-31 17:14:24.035918,updt_user0,2025-03-25 17:14:24.036257
51361020,6434795,53267257,7,Nick_16,insrt_user1,2021-09-07 17:14:24.035919,updt_user1,2025-04-22 17:14:24.036259
15813882,5064949,23554528,4,Nick_17,insrt_user2,2021-03-22 17:14:24.035921,updt_user2,2023-04-21 17:14:24.036260
51496440,5837873,72063895,5,Nick_18,insrt_user3,2022-06-07 17:14:24.035922,updt_user3,2022-09-06 17:14:24.036262
60398729,4933581,42770511,3,Nick_19,insrt_user4,2021-08-15 17:14:24.035924,updt_user4,2024-07-27 17:14:24.036263
13676692,9076155,47942912,4,Nick_20,insrt_user0,2022-06-22 17:14:24.035925,updt_user0,2022-10-20 17:14:24.036264
27848721,9381933,27180104,4,Nick_21,insrt_user1,2021-04-29 17:14:24.035926,updt_user1,2024-08-18 17:14:24.036266
12350718,7336907,48261808,0,Nick_22,insrt_user2,2021-02-15 17:14:24.035928,updt_user2,2022-11-11 17:14:24.036267
48355904,4520224,42093403,8,Nick_23,insrt_user3,2020-05-28 17:14:24.035929,updt_user3,2025-02-03 17:14:24.036268
51848632,5073109,29203206,6,Nick_24,insrt_user4,2021-08-22 17:14:24.035930,updt_user4,2022-12-16 17:14:24.036269
99483522,2813433,10003358,1,Nick_25,insrt_user0,2020-05-12 17:14:24.035932,updt_user0,2023-04-12 17:14:24.036271
71609064,5887195,91449012,7,Nick_26,insrt_user1,2020-10-23 17:14:24.035933,updt_user1,2022-12-25 17:14:24.036272
73730294,2418652,47113339,0,Nick_27,insrt_user2,2022-03-31 17:14:24.035934,updt_user2,2024-08-30 17:14:24.036273
89794846,4520848,47725063,0,Nick_28,insrt_user3,2021-11-21 17:14:24.035936,updt_user3,2024-12-12 17:14:24.036275
31448622,1377397,39764854,4,Nick_29,insrt_user4,2021-09-28 17:14:24.035937,updt_user4,2023-10-29 17:14:24.036276
52060220,2739566,14766401,6,Nick_30,insrt_user0,2021-02-02 17:14:24.035938,updt_user0,2023-10-06 17:14:24.036277
59785399,3678106,19401755,9,Nick_31,insrt_user1,2021-06-20 17:14:24.035940,updt_user1,2025-03-26 17:14:24.036279
84806537,2591824,85804169,7,Nick_32,insrt_user2,2021-01-12 17:14:24.035941,updt_user2,2022-11-04 17:14:24.036280
18858138,8315929,43033266,8,Nick_33,insrt_user3,2020-05-31 17:14:24.035943,updt_user3,2024-01-21 17:14:24.036281
54714944,3507531,95314888,5,Nick_34,insrt_user4,2021-07-26 17:14:24.035944,updt_user4,2023-01-20 17:14:24.036283
97224580,3233907,63790884,10,Nick_35,insrt_user0,2020-05-08 17:14:24.035946,updt_user0,2022-09-05 17:14:24.036284
71835767,2344147,21827092,2,Nick_36,insrt_user1,2022-01-11 17:14:24.035947,updt_user1,2024-11-10 17:14:24.036285
48099458,9488663,62198133,6,Nick_37,insrt_user2,2021-07-15 17:14:24.035948,updt_user2,2023-04-05 17:14:24.036287
71653251,8985406,64865210,0,Nick_38,insrt_user3,2020-07-15 17:14:24.035949,updt_user3,2023-10-18 17:14:24.036288
16425274,1217676,87575217,2,Nick_39,insrt_user4,2020-10-31 17:14:24.035951,updt_user4,2023-11-29 17:14:24.036289
56290379,5672799,63734736,5,Nick_40,insrt_user0,2020-07-09 17:14:24.035952,updt_user0,2022-09-06 17:14:24.036291
79187484,6614782,21474187,6,Nick_41,insrt_user1,2021-12-17 17:14:24.035954,updt_user1,2023-03-31 17:14:24.036292
54072679,5869360,90541750,1,Nick_42,insrt_user2,2022-04-10 17:14:24.035955,updt_user2,2024-03-30 17:14:24.036294
88122555,3399012,22646339,7,Nick_43,insrt_user3,2020-07-10 17:14:24.035956,updt_user3,2025-01-24 17:14:24.036295
53983746,8742230,61757036,1,Nick_44,insrt_user4,2021-12-14 17:14:24.035958,updt_user4,2023-10-13 17:14:24.036296
20919998,3903013,20887869,4,Nick_45,insrt_user0,2021-05-21 17:14:24.035959,updt_user0,2023-12-12 17:14:24.036297
55901879,2829673,67965750,4,Nick_46,insrt_user1,2021-12-18 17:14:24.035960,updt_user1,2023-07-21 17:14:24.036299
