ACCNT_ID,PRTNR_CD_ID,ACCNT_STATUS_CD_ID,LOGIN_STATUS_CD_ID,ACCNT_OPEN_DT,ACCNT_OPEN_REASON_CD_ID,ACCNT_CLOSE_DT,ACCNT_CLOSE_REASON_CD_ID,LAST_LOGIN_DT,LAST_UPDT_TS,LAST_UPDT_USER,INSRT_TS,INSRT_USER,MOD_TS,MOD_USER
1249812,8,80,1,2012-04-18,7,,-99.0,2020-11-29,2025-02-19 17:04:23.131439,user0,2020-06-22 17:04:23.131946,insrt_user0,2025-01-22 17:04:23.132366,mod_user0
7547567,27,90,2,2008-01-17,0,2015-03-19,14.0,2020-01-02,2024-01-24 17:04:23.131446,user1,2020-11-19 17:04:23.131951,insrt_user1,2024-04-08 17:04:23.132369,mod_user1
3418178,18,40,6,2009-12-15,9,,1.0,2021-01-09,2023-08-27 17:04:23.131448,user2,2021-07-13 17:04:23.131953,insrt_user2,2024-02-21 17:04:23.132371,mod_user2
8053613,13,0,5,2008-10-27,0,,,2020-10-19,2023-09-26 17:04:23.131451,user3,2019-12-22 17:04:23.131956,insrt_user3,2024-11-07 17:04:23.132372,mod_user3
6939576,10,20,6,2003-03-13,3,,4.0,2022-04-16,2025-05-13 17:04:23.131453,user4,2021-06-07 17:04:23.131958,insrt_user4,2024-08-29 17:04:23.132373,mod_user4
4869544,22,110,2,2007-03-01,7,2016-08-23,106.0,2022-07-22,2024-03-04 17:04:23.131456,user5,2022-03-29 17:04:23.131961,insrt_user0,2024-02-21 17:04:23.132375,mod_user5
6354763,8,80,2,2002-11-28,4,,7.0,2021-07-06,2024-02-05 17:04:23.131458,user6,2021-03-31 17:04:23.131969,insrt_user1,2024-09-18 17:04:23.132377,mod_user6
1417044,32,50,6,2005-11-26,1,,,2020-11-13,2023-10-16 17:04:23.131462,user7,2020-11-24 17:04:23.131971,insrt_user2,2024-09-08 17:04:23.132378,mod_user0
5778717,26,80,1,2008-03-01,5,,29.0,2021-05-16,2024-04-30 17:04:23.131466,user8,2020-01-10 17:04:23.131972,insrt_user3,2025-05-07 17:04:23.132380,mod_user1
2110013,28,90,4,2009-01-07,4,2016-02-06,-99.0,2022-04-07,2024-08-26 17:04:23.131469,user9,2021-01-23 17:04:23.131974,insrt_user4,2024-03-08 17:04:23.132382,mod_user2
7958732,13,30,2,2012-12-12,1,2015-10-23,6.0,2021-01-15,2023-02-01 17:04:23.131471,user0,2022-06-20 17:04:23.131975,insrt_user0,2024-08-24 17:04:23.132383,mod_user3
1265234,13,0,6,2003-03-02,2,,,2021-09-14,2024-06-01 17:04:23.131472,user1,2021-04-14 17:04:23.131977,insrt_user1,2024-09-21 17:04:23.132384,mod_user4
2205895,33,0,6,2002-01-02,8,2018-08-11,30.0,2020-01-14,2024-07-05 17:04:23.131474,user2,2021-06-21 17:04:23.131978,insrt_user2,2024-07-26 17:04:23.132385,mod_user5
4152438,22,110,3,2011-11-09,6,2016-09-07,23.0,2021-05-18,2023-08-30 17:04:23.131475,user3,2021-12-25 17:04:23.131979,insrt_user3,2024-08-16 17:04:23.132387,mod_user6
3099155,5,30,4,2013-04-08,6,2019-03-30,,2020-08-18,2024-06-22 17:04:23.131476,user4,2020-02-27 17:04:23.131980,insrt_user4,2024-12-19 17:04:23.132388,mod_user0
7325043,10,70,5,2002-08-11,5,,28.0,2022-09-11,2023-03-02 17:04:23.131478,user5,2020-07-27 17:04:23.131982,insrt_user0,2025-02-26 17:04:23.132389,mod_user1
5685306,33,10,1,2006-12-14,7,,14.0,2020-03-24,2024-03-03 17:04:23.131479,user6,2021-10-20 17:04:23.131983,insrt_user1,2024-09-04 17:04:23.132391,mod_user2
6764510,4,20,5,2009-02-06,3,,,2020-05-09,2023-10-09 17:04:23.131482,user7,2020-06-24 17:04:23.131984,insrt_user2,2024-07-15 17:04:23.132394,mod_user3
7754879,29,0,4,2009-01-14,7,,,2022-01-12,2023-06-07 17:04:23.131484,user8,2021-12-16 17:04:23.131986,insrt_user3,2025-02-11 17:04:23.132396,mod_user4
1805491,22,40,4,2004-03-22,3,,22.0,2022-04-17,2023-08-16 17:04:23.131487,user9,2021-01-16 17:04:23.131987,insrt_user4,2024-06-30 17:04:23.132398,mod_user5
2076959,3,0,4,2003-04-06,7,2017-11-12,,2020-05-24,2025-03-28 17:04:23.131489,user0,2020-11-16 17:04:23.131988,insrt_user0,2024-07-26 17:04:23.132401,mod_user6
1539515,33,80,5,2008-03-12,8,,105.0,2022-06-09,2025-03-17 17:04:23.131491,user1,2020-05-23 17:04:23.131989,insrt_user1,2024-10-06 17:04:23.132403,mod_user0
1432634,14,0,4,2007-05-05,2,,,2022-05-06,2023-06-21 17:04:23.131494,user2,2021-02-28 17:04:23.131990,insrt_user2,2024-05-16 17:04:23.132405,mod_user1
8149463,7,0,6,2003-05-02,2,2017-09-19,1.0,2020-01-28,2025-01-09 17:04:23.131496,user3,2021-08-27 17:04:23.131992,insrt_user3,2024-03-22 17:04:23.132407,mod_user2
8207068,3,10,5,2004-03-20,1,,,2020-03-06,2022-11-27 17:04:23.131498,user4,2020-12-07 17:04:23.131993,insrt_user4,2024-05-10 17:04:23.132410,mod_user3
6972951,22,10,4,2008-11-10,9,2015-05-25,104.0,2020-06-11,2022-11-29 17:04:23.131501,user5,2022-03-22 17:04:23.131994,insrt_user0,2024-02-04 17:04:23.132412,mod_user4
1891329,2,50,6,2006-07-14,2,2018-06-02,105.0,2020-08-16,2023-02-24 17:04:23.131503,user6,2020-02-11 17:04:23.131996,insrt_user1,2024-04-02 17:04:23.132414,mod_user5
6700682,14,70,3,2010-03-08,2,,1.0,2020-09-17,2023-10-05 17:04:23.131505,user7,2020-08-13 17:04:23.131997,insrt_user2,2024-05-07 17:04:23.132417,mod_user6
2273941,32,40,4,2003-10-20,4,2016-05-17,29.0,2021-03-24,2024-02-14 17:04:23.131508,user8,2021-06-03 17:04:23.131998,insrt_user3,2025-05-07 17:04:23.132419,mod_user0
2964738,29,0,5,2005-01-30,4,2020-06-08,,2021-02-27,2024-04-10 17:04:23.131510,user9,2019-12-11 17:04:23.131999,insrt_user4,2025-01-11 17:04:23.132421,mod_user1
6529015,14,0,2,2003-09-27,1,2020-06-20,14.0,2021-04-04,2024-07-31 17:04:23.131512,user0,2021-11-29 17:04:23.132001,insrt_user0,2025-02-04 17:04:23.132423,mod_user2
1555563,31,20,4,2001-05-14,9,,,2022-08-09,2023-05-27 17:04:23.131514,user1,2020-10-05 17:04:23.132002,insrt_user1,2024-02-05 17:04:23.132426,mod_user3
6815518,23,10,2,2004-08-07,5,,,2021-11-06,2024-01-21 17:04:23.131517,user2,2021-11-07 17:04:23.132003,insrt_user2,2024-05-05 17:04:23.132428,mod_user4
5707211,12,40,6,2001-05-25,4,2015-04-14,,2020-10-27,2024-08-14 17:04:23.131519,user3,2021-03-23 17:04:23.132004,insrt_user3,2024-04-22 17:04:23.132430,mod_user5
8697411,20,110,3,2011-10-22,5,,,2022-07-07,2022-11-04 17:04:23.131522,user4,2021-02-02 17:04:23.132006,insrt_user4,2024-02-05 17:04:23.132433,mod_user6
