CIFDB_ACCT_ID,MRCHNT_DBA_NM,TRAN_DATE,TRAN_POST_DATE,TRAN_CD,TRAN_CAT_CD,TRANS_FRAUD_FLAG,TRAN_AMT,INCHG_FEE,DBR_CD_ID,MRCHNT_CITY_NM,MRCHNT_STATE_CD,Status,Description,CIFDB_ACCNT_ID,ELCTRNC_PYMT_VALUE
8575834,Preston-Singleton,04/22/2025,01/13/2025,108,19,N,8275.06,123.86,,Lake Heather,MO,Successful,Preston-Singleton transaction of $8275.06 was successful.,1249812,N
6243691,Jones-Allen,01/17/2025,04/13/2025,108,19,N,3746.14,33.03,D,Baldwinmouth,WY,Successful,Jones-Allen transaction of $3746.14 was successful.,7547567,N
2530497,"Martinez, Romero and Wall",12/09/2024,03/14/2025,108,19,N,970.16,22.77,C,South Kelly,RI,Successful,"Martinez, Romero and Wall transaction of $970.16 was successful.",3418178,Y
6530541,Henry-Gamble,02/27/2025,04/21/2025,108,19,N,3539.21,76.57,D,Lake Pennyfurt,IL,Successful,Henry-Gamble transaction of $3539.21 was successful.,8053613,N
5825620,"Bauer, Mays and Bond",04/04/2025,12/27/2024,374,19,N,1040.49,18.4,C,Rodneyton,PA,Returned,"Bauer, Mays and Bond transaction of $1040.49 was returned.",6939576,N
4762204,Obrien PLC,04/01/2025,12/25/2024,374,19,N,1153.28,13.8,C,New Christina,HI,Returned,Obrien PLC transaction of $1153.28 was returned.,4869544,N
1440466,"Dalton, Oneill and Mayo",02/27/2025,03/07/2025,374,19,Y,1808.26,40.81,D,Jenniferchester,MT,Returned,"Dalton, Oneill and Mayo transaction of $1808.26 was returned.",6354763,N
6889195,Montgomery-Moore,01/20/2025,02/28/2025,108,19,Y,5665.38,85.09,C,North Michaelland,DE,Successful,Montgomery-Moore transaction of $5665.38 was successful.,1417044,N
2539438,"Sims, Doyle and Mejia",12/26/2024,12/09/2024,374,19,N,4201.23,56.81,D,Gregoryberg,MN,Returned,"Sims, Doyle and Mejia transaction of $4201.23 was returned.",5778717,N
6442241,Lutz-Rodriguez,03/14/2025,03/28/2025,108,19,Y,1560.02,37.22,C,East Samantha,SC,Successful,Lutz-Rodriguez transaction of $1560.02 was successful.,2110013,Y
